
2024/02/28 (07:28:17) | ===> btop++ v.1.3.2
2024/02/28 (07:28:17) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/01 (13:49:59) | ===> btop++ v.1.3.2
2024/03/01 (13:49:59) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/01 (13:50:05) | ===> btop++ v.1.3.2
2024/03/01 (13:50:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/01 (13:51:17) | ===> btop++ v.1.3.2
2024/03/01 (13:51:17) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/02 (08:52:49) | ===> btop++ v.1.3.2
2024/03/02 (08:52:49) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/05 (10:21:14) | ===> btop++ v.1.3.2
2024/03/05 (10:21:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/05 (10:24:09) | ===> btop++ v.1.3.2
2024/03/05 (10:24:09) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/13 (06:43:00) | ===> btop++ v.1.3.2
2024/03/13 (06:43:00) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/23 (16:58:13) | ===> btop++ v.1.3.2
2024/03/23 (16:58:13) | WARNING: Failed to set locale UTF-8 continuing anyway.
